index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Liverpool,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leicester City,12,12,4,3,5,3,3,4,3,3,3,2,2,2,2,2
Manchester City,1,3,2,2,2,2,2,2,2,2,2,4,3,3,3,3
Chelsea,19,15,13,11,6,11,7,5,4,4,4,3,4,4,4,4
Manchester United,2,4,5,8,4,8,10,12,14,7,10,7,9,9,6,5
Wolverhampton Wanderers,13,13,15,17,19,19,13,11,13,12,12,8,5,6,5,6
Tottenham Hotspur,6,6,7,9,3,7,6,9,7,11,11,14,10,5,8,7
Sheffield United,9,8,9,10,15,10,12,13,9,8,6,5,6,7,9,8
Arsenal,7,2,3,5,7,4,4,3,5,5,5,6,8,8,10,9
Crystal Palace,10,14,10,4,12,12,9,6,6,6,9,12,13,11,7,10
Newcastle United,14,18,19,14,18,17,19,16,18,17,15,13,14,14,11,11
Brighton & Hove Albion,4,5,8,16,16,15,16,14,16,14,8,11,12,16,13,12
Burnley,5,10,6,12,14,9,11,7,8,13,14,10,7,10,12,13
Everton,11,9,12,6,11,14,15,18,15,16,17,15,16,17,18,14
AFC Bournemouth,8,7,11,15,9,6,8,10,10,9,7,9,11,12,14,15
West Ham United,20,16,14,7,8,5,5,8,11,10,13,16,17,13,15,16
Aston Villa,15,17,16,18,17,18,18,15,12,15,16,17,15,15,16,17
Southampton,17,19,18,13,10,13,14,17,17,18,18,19,19,18,17,18
Norwich City,16,11,17,19,13,16,17,19,19,19,19,20,18,19,19,19
Watford,18,20,20,20,20,20,20,20,20,20,20,18,20,20,20,20
