index,xG,xGA
Liverpool,2.02352941176471,0.974705882352941
Leicester City,1.69411764705882,1.04647058823529
Manchester City,2.79882352941176,0.995294117647059
Chelsea,2.04764705882353,1.21823529411765
Tottenham Hotspur,1.35176470588235,1.29352941176471
Manchester United,1.73588235294118,0.991176470588235
Sheffield United,1.25588235294118,1.23882352941176
Wolverhampton Wanderers,1.37882352941176,1.14058823529412
Arsenal,1.34,1.50588235294118
Crystal Palace,0.906875,1.6
Newcastle United,0.802352941176471,1.75235294117647
Burnley,1.39941176470588,1.30882352941176
Brighton & Hove Albion,1.3525,1.755
AFC Bournemouth,1.18117647058824,1.67941176470588
West Ham United,1.17470588235294,1.95411764705882
Everton,1.40588235294118,1.31176470588235
Aston Villa,1.37647058823529,1.93529411764706
Southampton,1.47117647058824,1.62294117647059
Norwich City,1.05411764705882,1.95470588235294
Watford,1.14529411764706,1.68411764705882
